"","country","date","searches"
"578","Singapore",2004-02-01,0.109
"579","Thailand",2004-02-01,NA
"580","Venezuela",2004-02-01,0.283
"581","Argentina",2004-02-08,0.039
"582","Bolivia",2004-02-08,0.046
"583","Brazil",2004-02-08,0.067
"584","India",2004-02-08,0.033
"585","Indonesia",2004-02-08,0.122
"586","Mexico",2004-02-08,0.032
"587","Philippines",2004-02-08,0.08
"588","Singapore",2004-02-08,0.145
"589","Thailand",2004-02-08,NA
"590","Venezuela",2004-02-08,0.227
"591","Argentina",2004-02-15,0.046
"592","Bolivia",2004-02-15,0.034
"593","Brazil",2004-02-15,0.077
"594","India",2004-02-15,0.058
"595","Indonesia",2004-02-15,0.295
"596","Mexico",2004-02-15,0.031
"597","Philippines",2004-02-15,0.074
"598","Singapore",2004-02-15,0.194
"599","Thailand",2004-02-15,NA
"600","Venezuela",2004-02-15,0.199
"601","Argentina",2004-02-22,0.041
"602","Bolivia",2004-02-22,0.034
"603","Brazil",2004-02-22,0.088
"604","India",2004-02-22,0.039
"605","Indonesia",2004-02-22,0.69
"606","Mexico",2004-02-22,0.033
"607","Philippines",2004-02-22,0.071
"608","Singapore",2004-02-22,0.178
"609","Thailand",2004-02-22,NA
"610","Venezuela",2004-02-22,0.195
"611","Argentina",2004-02-29,0.039
"612","Bolivia",2004-02-29,0.03
"613","Brazil",2004-02-29,0.085
"614","India",2004-02-29,0.031
"615","Indonesia",2004-02-29,1
"616","Mexico",2004-02-29,0.04
"617","Philippines",2004-02-29,0.073
"618","Singapore",2004-02-29,0.172
"619","Thailand",2004-02-29,NA
"620","Venezuela",2004-02-29,0.207
"621","Argentina",2004-03-07,0.039
"622","Bolivia",2004-03-07,0.028
"623","Brazil",2004-03-07,0.096
"624","India",2004-03-07,0.023
"625","Indonesia",2004-03-07,0.8
"626","Mexico",2004-03-07,0.036
"627","Philippines",2004-03-07,0.07
"628","Singapore",2004-03-07,0.161
"629","Thailand",2004-03-07,NA
"630","Venezuela",2004-03-07,0.188
"631","Argentina",2004-03-14,0.053
"632","Bolivia",2004-03-14,0.023
"633","Brazil",2004-03-14,0.071
"634","India",2004-03-14,0.039
"635","Indonesia",2004-03-14,0.521
"636","Mexico",2004-03-14,0.04
"637","Philippines",2004-03-14,0.065
"638","Singapore",2004-03-14,0.164
"639","Thailand",2004-03-14,NA
"640","Venezuela",2004-03-14,0.183
"641","Argentina",2004-03-21,0.065
"642","Bolivia",2004-03-21,0.037
"643","Brazil",2004-03-21,0.085
"644","India",2004-03-21,0.023
"645","Indonesia",2004-03-21,0.424
"646","Mexico",2004-03-21,0.047
"647","Philippines",2004-03-21,0.06
"648","Singapore",2004-03-21,0.135
"649","Thailand",2004-03-21,NA
"650","Venezuela",2004-03-21,0.184
"651","Argentina",2004-03-28,0.063
"652","Bolivia",2004-03-28,0.056
"653","Brazil",2004-03-28,0.096
"654","India",2004-03-28,0.026
"655","Indonesia",2004-03-28,0.205
"656","Mexico",2004-03-28,0.052
"657","Philippines",2004-03-28,0.06
"658","Singapore",2004-03-28,0.17
"659","Thailand",2004-03-28,NA
"660","Venezuela",2004-03-28,0.168
"661","Argentina",2004-04-04,0.046
"662","Bolivia",2004-04-04,0.042
"663","Brazil",2004-04-04,0.071
"664","India",2004-04-04,0.037
"665","Indonesia",2004-04-04,0.262
"666","Mexico",2004-04-04,0.051
"667","Philippines",2004-04-04,0.057
"668","Singapore",2004-04-04,0.149
"669","Thailand",2004-04-04,NA
"670","Venezuela",2004-04-04,0.176
"671","Argentina",2004-04-11,0.041
"672","Bolivia",2004-04-11,0.035
"673","Brazil",2004-04-11,0.054
"674","India",2004-04-11,0.027
"675","Indonesia",2004-04-11,0.212
"676","Mexico",2004-04-11,0.051
"677","Philippines",2004-04-11,0.058
"678","Singapore",2004-04-11,0.127
"679","Thailand",2004-04-11,NA
"680","Venezuela",2004-04-11,0.162
"681","Argentina",2004-04-18,0.036
"682","Bolivia",2004-04-18,0.04
"683","Brazil",2004-04-18,0.067
"684","India",2004-04-18,0.031
"685","Indonesia",2004-04-18,0.186
"686","Mexico",2004-04-18,0.049
"687","Philippines",2004-04-18,0.057
"688","Singapore",2004-04-18,0.118
"689","Thailand",2004-04-18,NA
"690","Venezuela",2004-04-18,0.162
"691","Argentina",2004-04-25,0.041
"692","Bolivia",2004-04-25,0.045
"693","Brazil",2004-04-25,0.027
"694","India",2004-04-25,0.019
"695","Indonesia",2004-04-25,0.151
"696","Mexico",2004-04-25,0.044
"697","Philippines",2004-04-25,0.056
"698","Singapore",2004-04-25,0.127
"699","Thailand",2004-04-25,NA
"700","Venezuela",2004-04-25,0.187
"701","Argentina",2004-05-02,0.041
"702","Bolivia",2004-05-02,0.051
"703","Brazil",2004-05-02,0.039
"704","India",2004-05-02,0.016
"705","Indonesia",2004-05-02,0.142
"706","Mexico",2004-05-02,0.038
"707","Philippines",2004-05-02,0.054
"708","Singapore",2004-05-02,0.15
"709","Thailand",2004-05-02,NA
"710","Venezuela",2004-05-02,0.206
"711","Argentina",2004-05-09,0.041
"712","Bolivia",2004-05-09,0.049
"713","Brazil",2004-05-09,0.043
"714","India",2004-05-09,0.021
"715","Indonesia",2004-05-09,0.127
"716","Mexico",2004-05-09,0.051
"717","Philippines",2004-05-09,0.053
"718","Singapore",2004-05-09,0.138
"719","Thailand",2004-05-09,NA
"720","Venezuela",2004-05-09,0.259
"721","Argentina",2004-05-16,0.036
"722","Bolivia",2004-05-16,0.032
"723","Brazil",2004-05-16,0.031
"724","India",2004-05-16,0.037
"725","Indonesia",2004-05-16,0.139
"726","Mexico",2004-05-16,0.06
"727","Philippines",2004-05-16,0.056
"728","Singapore",2004-05-16,0.12
"729","Thailand",2004-05-16,NA
"730","Venezuela",2004-05-16,0.236
"731","Argentina",2004-05-23,0.036
"732","Bolivia",2004-05-23,0.026
"733","Brazil",2004-05-23,0.04
"734","India",2004-05-23,0.029
"735","Indonesia",2004-05-23,0.098
"736","Mexico",2004-05-23,0.114
"737","Philippines",2004-05-23,0.055
"738","Singapore",2004-05-23,0.161
"739","Thailand",2004-05-23,NA
