"","country","date","searches"
"502","Chile",2003-04-27,2
"503","France",2003-04-27,NA
"504","Germany",2003-04-27,NA
"505","Hungary",2003-04-27,NA
"506","Japan",2003-04-27,NA
"507","Mexico",2003-04-27,NA
"508","Netherlands",2003-04-27,NA
"509","New.Zealand",2003-04-27,NA
"510","Norway",2003-04-27,NA
"511","Paraguay",2003-04-27,NA
"512","Peru",2003-04-27,567
"513","Poland",2003-04-27,NA
"514","Romania",2003-04-27,703
"515","Russia",2003-04-27,NA
"516","South.Africa",2003-04-27,NA
"517","Spain",2003-04-27,NA
"518","Sweden",2003-04-27,NA
"519","Switzerland",2003-04-27,NA
"520","Ukraine",2003-04-27,NA
"521","United.States",2003-04-27,NA
"522","Uruguay",2003-04-27,104
"523","Argentina",2003-05-04,239
"524","Australia",2003-05-04,NA
"525","Austria",2003-05-04,NA
"526","Belgium",2003-05-04,NA
"527","Bolivia",2003-05-04,493
"528","Brazil",2003-05-04,319
"529","Bulgaria",2003-05-04,NA
"530","Canada",2003-05-04,NA
"531","Chile",2003-05-04,4
"532","France",2003-05-04,NA
"533","Germany",2003-05-04,NA
"534","Hungary",2003-05-04,NA
"535","Japan",2003-05-04,NA
"536","Mexico",2003-05-04,NA
"537","Netherlands",2003-05-04,NA
"538","New.Zealand",2003-05-04,NA
"539","Norway",2003-05-04,NA
"540","Paraguay",2003-05-04,NA
"541","Peru",2003-05-04,494
"542","Poland",2003-05-04,NA
"543","Romania",2003-05-04,655
"544","Russia",2003-05-04,NA
"545","South.Africa",2003-05-04,NA
"546","Spain",2003-05-04,NA
"547","Sweden",2003-05-04,NA
"548","Switzerland",2003-05-04,NA
"549","Ukraine",2003-05-04,NA
"550","United.States",2003-05-04,NA
"551","Uruguay",2003-05-04,116
"552","Argentina",2003-05-11,241
"553","Australia",2003-05-11,NA
"554","Austria",2003-05-11,NA
"555","Belgium",2003-05-11,NA
"556","Bolivia",2003-05-11,560
"557","Brazil",2003-05-11,336
"558","Bulgaria",2003-05-11,NA
"559","Canada",2003-05-11,NA
"560","Chile",2003-05-11,3
"561","France",2003-05-11,NA
"562","Germany",2003-05-11,NA
"563","Hungary",2003-05-11,NA
"564","Japan",2003-05-11,NA
"565","Mexico",2003-05-11,NA
"566","Netherlands",2003-05-11,NA
"567","New.Zealand",2003-05-11,NA
"568","Norway",2003-05-11,NA
"569","Paraguay",2003-05-11,NA
"570","Peru",2003-05-11,456
"571","Poland",2003-05-11,NA
"572","Romania",2003-05-11,657
"573","Russia",2003-05-11,NA
"574","South.Africa",2003-05-11,NA
"575","Spain",2003-05-11,NA
"576","Sweden",2003-05-11,NA
"577","Switzerland",2003-05-11,NA
"578","Ukraine",2003-05-11,NA
"579","United.States",2003-05-11,NA
"580","Uruguay",2003-05-11,122
"581","Argentina",2003-05-18,232
"582","Australia",2003-05-18,NA
"583","Austria",2003-05-18,NA
"584","Belgium",2003-05-18,NA
"585","Bolivia",2003-05-18,539
"586","Brazil",2003-05-18,361
"587","Bulgaria",2003-05-18,NA
"588","Canada",2003-05-18,NA
"589","Chile",2003-05-18,1
"590","France",2003-05-18,NA
